raceId,year,round,circuitId,name,location,country,lat,lng
99,2004,10,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
100,2004,11,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
101,2004,12,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
102,2004,13,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
103,2004,14,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
104,2004,15,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
105,2004,16,17,Shanghai International Circuit,Shanghai,China,31.3389,121.22
106,2004,17,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
107,2004,18,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
108,2003,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
109,2003,2,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
110,2003,3,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
111,2003,4,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
112,2003,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
113,2003,6,70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
114,2003,7,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
115,2003,8,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
116,2003,9,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
117,2003,10,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
118,2003,11,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
119,2003,12,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
120,2003,13,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
121,2003,14,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
122,2003,15,19,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
123,2003,16,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
124,2002,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
125,2002,2,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
126,2002,3,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
127,2002,4,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
128,2002,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
129,2002,6,70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
130,2002,7,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
131,2002,8,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
132,2002,9,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
133,2002,10,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
134,2002,11,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
135,2002,12,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
136,2002,13,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
137,2002,14,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
138,2002,15,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
139,2002,16,19,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
140,2002,17,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
141,2001,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
142,2001,2,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
143,2001,3,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
144,2001,4,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
145,2001,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
146,2001,6,70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
147,2001,7,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
148,2001,8,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
149,2001,9,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
150,2001,10,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
151,2001,11,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
152,2001,12,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
153,2001,13,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
154,2001,14,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
155,2001,15,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
156,2001,16,19,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
157,2001,17,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
158,2000,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
159,2000,2,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
160,2000,3,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
161,2000,4,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
162,2000,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
163,2000,6,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
164,2000,7,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
165,2000,8,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
166,2000,9,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
167,2000,10,70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647
168,2000,11,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
169,2000,12,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
170,2000,13,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
