raceId,year,round,circuitId,name,location,country,lat,lng
355,2010,19,24,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
356,1989,1,36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395
357,1989,2,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
358,1989,3,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
359,1989,4,32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
360,1989,5,33,Phoenix street circuit,Phoenix,USA,33.4479,-112.075
361,1989,6,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
362,1989,7,34,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
363,1989,8,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
364,1989,9,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
365,1989,10,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
366,1989,11,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
367,1989,12,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
368,1989,13,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
369,1989,14,26,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417
370,1989,15,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
371,1989,16,29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
372,1988,1,36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395
373,1988,2,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
374,1988,3,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
375,1988,4,32,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907
376,1988,5,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
377,1988,6,37,Detroit Street Circuit,Detroit,USA,42.3298,-83.0401
378,1988,7,34,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167
379,1988,8,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
380,1988,9,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
381,1988,10,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
382,1988,11,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
383,1988,12,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
384,1988,13,27,Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417
385,1988,14,26,Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417
386,1988,15,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
387,1988,16,29,Adelaide Street Circuit,Adelaide,Australia,-34.9272,138.617
388,1987,1,36,Autódromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,-22.9756,-43.395
389,1987,2,21,Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167
390,1987,3,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
